feature,rf_importance,mutual_info,rfe_rank,rf_norm,mi_norm,rfe_norm,combined_score
mean_i,0.08369684586004365,0.6969144247342554,1,1.0,0.6133634685819028,0.95,0.854454489527301
env_std,0.03532076144369225,1.0714212618527477,2,0.4220082737974975,0.942971817139515,0.9,0.7549933636456708
env_mean,0.03639718235515082,1.0236015617961642,2,0.434869223339832,0.9008850758521086,0.9,0.7452514330639802
rms,0.0396550879365918,1.0521608690980342,4,0.47379429331067413,0.9260204944419176,0.8,0.7332715959175307
var_q,0.026820039644065746,1.024831495035427,3,0.32044265669119393,0.9019675561265641,0.85,0.690803404272586
inst_phase_std,0.056171804973672905,0.6803167491987154,4,0.6711340719768865,0.5987556380139566,0.8,0.6899632366636143
env_var,0.02882385739116183,1.071403572471333,5,0.344384033770646,0.9429562484843739,0.75,0.6791134274183399
energy,0.034401079716457846,1.052072891733043,6,0.41102002546168476,0.9259430644163184,0.7,0.678987696626001
std_i,0.036792806236229846,1.1273965710827556,8,0.4395960906072149,0.9922364163582125,0.6,0.6772775023218092
std_q,0.034195147468191286,1.0248303055441401,6,0.4085595713531642,0.9019665092397791,0.7,0.6701753601976478
var_i,0.029652077450477318,1.1273654545195102,8,0.3542795089322838,0.9922090302653364,0.6,0.6488295130658734
cyclic_mean,0.02960493556611603,1.1362176921712055,9,0.3537162632821417,1.0,0.55,0.6345720877607139
power,0.038751013281708824,1.0521046377647887,10,0.4629925164265756,0.9259710045126259,0.5,0.6296545069797338
C20,0.0483465753643152,0.3815155218010582,3,0.5776391555442778,0.33577678329582933,0.85,0.5878053129467024
spectral_entropy,0.03511967698135581,0.6024648276226552,5,0.41960574046102406,0.530237147136304,0.75,0.5666142958657759
bandwidth_3db,0.04235686894972403,0.437102953057543,7,0.5060748528152711,0.3847000060545442,0.65,0.5135916196232717
C62,0.03449016068618898,0.554831652230785,10,0.41208435433591845,0.4883145686374182,0.5,0.4667996409911122
cyclic_max_alpha,0.023842720154347494,0.7862180847457569,14,0.28486999610734265,0.6919607837151065,0.30000000000000004,0.4256102599408164
kurt_q,0.024584112546398685,0.3499923184471272,7,0.29372806458570483,0.30803280116007054,0.65,0.4172536219152585
spectral_centroid,0.02441915412222436,0.5419210531917975,11,0.29175716087387127,0.4769517821503353,0.44999999999999996,0.4062363143414022
C42,0.026606433604669705,0.5637813837831693,12,0.3178905170352596,0.4961913440247845,0.4,0.4046939536866814
C63,0.01964141460321037,0.4742498224832188,11,0.23467329504930673,0.41739344999722,0.44999999999999996,0.3673555816821756
inst_freq_std,0.018283299168491158,0.5207843978867976,12,0.21844669271126607,0.45834913632758834,0.4,0.35893194301295145
kurt_i,0.01911703876922342,0.3274658021562624,9,0.2284081146999325,0.2882069205686333,0.55,0.355538345089522
C41,0.024770065943558215,0.4000292849907132,13,0.29594981374779966,0.3520709875818733,0.35,0.3326736004432243
peak_frequency,0.00810900646091262,0.8192033826883991,18,0.09688544864011189,0.7209915743548917,0.09999999999999998,0.3059590076650012
spectral_flatness,0.015545720063466906,0.4751621853220156,15,0.18573842184521716,0.4181964324231083,0.25,0.2846449514227751
zero_crossing_rate,0.01654072028020582,0.3943249089812335,14,0.1976265665717548,0.3470504919068067,0.30000000000000004,0.28155901949285383
C60,0.016826277992363883,0.31089754439146633,13,0.20103837629079213,0.273624980964141,0.35,0.27488778575164435
C40,0.017101441541123884,0.43852668716409626,16,0.20432599777679322,0.38595305299824445,0.19999999999999996,0.2634263502583459
C61,0.011453432988804484,0.3636842124849706,15,0.13684426063028357,0.3200832155588109,0.25,0.23564249206303148
occupied_bandwidth_99,0.012891118621499399,0.1958173696590526,16,0.15402155826822547,0.17234141926171206,0.19999999999999996,0.17545432584331247
papr,0.010257799983072444,0.21870642391115203,17,0.1225589791068752,0.19248637423804285,0.15000000000000002,0.15501511778163937
inst_freq_mean,0.007685353855702452,0.21713230643034143,19,0.09182369749696137,0.191100972926607,0.050000000000000044,0.11097489014118948
mean_q,0.00727809310410054,0.1016957794482436,17,0.0869577942790202,0.08950378096464287,0.15000000000000002,0.10882052508122103
skew_i,0.007653454000265207,0.1227589662445685,18,0.09144256180290442,0.10804176619533852,0.09999999999999998,0.09982810933274765
inst_phase_mean,0.00678097231497694,0.11310449742726414,20,0.0810182539771685,0.09954474235578223,0.0,0.06018766544431691
skew_q,0.007054308325732654,0.05138799154374363,19,0.08428404025557594,0.0452272411332955,0.050000000000000044,0.05983709379629049
C21,0.0029621402505049994,0.0,20,0.03539130083179283,0.0,0.0,0.011797100277264277
